Mes,Costo Unitario
Enero,460.1
Febrero,474.8
Marzo,490.3
Abril,495.7
Mayo,480.5
Junio,478.7
Julio,489.6
Agosto,497.3
Septiembre,485.1
Octubre,485.7
Noviembre,487.2
Diciembre,486.6
