Mes,Costo Unitario
Enero,642.1
Febrero,646.0
Marzo,649.9
Abril,657.7
Mayo,690.5
Junio,715.4
Julio,736.9
Agosto,781.1
Septiembre,785.8
Octubre,776.8
Noviembre,786.9
Diciembre,774.8
