Mes,Costo Unitario
Enero,784.6
Febrero,798.5
Marzo,811.8
Abril,820.3
Mayo,826.7
Junio,830.4
Julio,832.8
Agosto,837.0
Septiembre,842.9
Octubre,925.5
Noviembre,938.4
