Mes,Costo Unitario
Enero,538.9
Febrero,596.5
Marzo,629.3
Abril,631.0
Mayo,611.5
Junio,608.3
Julio,602.9
Agosto,607.4
Septiembre,622.3
Octubre,614.5
Noviembre,620.3
Diciembre,601.4 
