Mes,Costo Unitario
Enero,490.2
Febrero,494.1
Marzo,517.0
Abril,508.9
Mayo,503.4
Junio,516.8
Julio,521.3
Agosto,519.3
Septiembre,523.2
Octubre,521.8
Noviembre,523.0
Diciembre,530
